ID_ORDER,DTE_ORDER,ID_CUSTOMER,ID_PART,QTY_ORDERED,AMT_TOTAL,REF_PAYMENT_METHOD,DTE_DELIVERY_EST,CAT_ORDER_CHANNEL,TYP_CUSTOMER_SEGMENT,REF_COUNTRY_CODE,REF_DISCOUNT_CODE,QTY_BACKORDER,RAT_DISCOUNT_APPLIED,TST_INSERTION,AUD_USR_INSERT,DES_ORDER_NOTE
ORD000001,2024-11-02,CUST4552,PART4792,0,6516.22,,2025-06-30,STORE,VIP,DEU,,1,0.15,2024-11-24T21:43:41,clarkbrian,Grow continue financial natural staff recently.
ORD000002,2025-06-05,CUST5769,PART2175,2,4129.12,CARD,2025-06-29,PHONE,B2C,ESP,,0,,2025-01-21T23:51:13,mackwilliam,
ORD000003,2025-01-06,CUST3907,PART8936,-1,ERROR,TRANSFER,2025-08-22,ONLINE,B2B,DEU,,5,0.10,2025-04-12T10:13:31,dianarocha,Defense nation science another produce exist expect should.
ORD000004,2025-01-02,CUST8946,PART1161,null,1241.78,CASH,2025-07-17,PHONE,B2C,ESP,,N/A,0.10,2025-02-26T09:14:58,cookgerald,Say performance nature point. A do there east. Investment teacher son interest.
ORD000005,2025-01-19,CUST5004,ERROR,16,863.36,,2025-07-31,B2B_PORTAL,VIP,ITA,DEPRECATED,5,0.15,2025-01-20T17:01:25,eric46,Miss feeling reality development down.
ORD000006,2025-05-30,CUST7986,PART6841,X,,CASH,,,,FRA,,,0.05,2025-01-09T14:15:08,stevengonzales,
ORD000007,2024-12-25,CUST1572,PART9259,null,831.33,,2025-08-11,,,FRA,DEPRECATED,,0.00,2025-01-31T18:07:24,brianbanks,Community out determine word give.
ORD000008,2025-04-04,CUST3997,PART9682,17,4588.1,CARD,2025-06-25,,CORPORATE,DEU,SPRING2025,5,0.00,2025-05-17T12:51:56,flynndaniel,
ORD000009,2025-05-21,CUST1297,PART8975,null,1135.94,TRANSFER,2025-07-23,ONLINE,,USA,DEPRECATED,2,0.15,2025-06-17T17:27:38,kevinsmith,Challenge we detail affect drive more out.
ORD000010,2025-06-21,CUST5012,PART8845,-1,8809.41,CASH,2025-08-03,STORE,VIP,DEU,,0,0.15,2025-03-27T05:06:36,xjohnston,Check computer serve watch agreement.
ORD000011,2025-03-21,CUST8479,PART5556,0,,CARD,2025-07-11,STORE,B2C,DEU,SPRING2025,N/A,0.00,2024-08-13T17:29:20,parsonsdonald,Cup pretty seem dinner within choice hotel. Growth someone more camera effort.
ORD000012,2024-11-26,CUST6246,PART7633,-1,5549.58,CRYPTO,2025-08-21,STORE,CORPORATE,ITA,DEPRECATED,N/A,0.00,2024-07-11T15:45:20,brittany23,
ORD000013,2025-02-03,CUST1225,PART1080,-1,2861.32,CRYPTO,,,CORPORATE,FRA,DEPRECATED,0,0.15,2025-04-07T12:02:40,alexanderzachary,Thing expert poor miss none. Common together federal. Power message buy war.
